  2455306.83635   16.349    0.006
  2455306.87551   16.347    0.007
  2455306.91443   16.329    0.007
  2455307.69888   16.340    0.007
  2455307.76241   16.340    0.007
  2455307.82381   16.347    0.007
  2455307.86315   16.348    0.007
  2455307.90282   16.336    0.006
  2455308.69017   16.358    0.008
  2455308.75201   16.334    0.007
  2455308.81353   16.357    0.007
  2455308.85145   16.354    0.006
  2455309.68791   16.352    0.008
  2455309.75295   16.358    0.007
  2455309.82354   16.360    0.007
  2455309.86765   16.350    0.007
  2455309.90599   16.365    0.007
  2455310.66762   16.351    0.008
  2455310.73359   16.351    0.008
  2455310.78995   16.349    0.007
  2455310.86538   16.372    0.006
  2455310.90337   16.352    0.006
  2455311.78879   16.347    0.009
  2455311.84773   16.371    0.007
  2455311.89605   16.353    0.007
  2455312.71037   16.352    0.009
  2455312.75975   16.368    0.008
  2455312.80231   16.366    0.008
  2455312.84208   16.366    0.008
  2455312.88692   16.363    0.008
  2455312.92404   16.366    0.007
  2455313.79615   16.351    0.009
  2455313.83512   16.368    0.009
  2455313.87536   16.375    0.009
  2455313.91320   16.366    0.009
  2455314.68389   16.376    0.009
  2455314.72634   16.358    0.010
  2455314.76600   16.383    0.008
  2455314.80353   16.373    0.008
  2455314.86136   16.370    0.008
  2455314.89853   16.358    0.008
  2455315.65257   16.350    0.012
  2455315.70717   16.359    0.011
  2455315.74932   16.374    0.009
  2455315.78684   16.369    0.008
  2455315.82474   16.370    0.009
  2455315.86492   16.367    0.009
  2455315.90682   16.374    0.010
  2455316.69780   16.362    0.017
  2455316.74286   16.371    0.011
  2455316.78266   16.352    0.010
  2455316.82188   16.363    0.010
  2455316.87707   16.383    0.012
  2455319.83805   16.387    0.015
  2455319.88687   16.365    0.014
  2455319.92417   16.338    0.013
  2455320.66034   16.347    0.007
  2455320.69932   16.363    0.008
  2455320.74330   16.365    0.008
  2455320.78076   16.357    0.008
  2455320.82077   16.361    0.008
  2455320.86243   16.360    0.007
  2455320.89989   16.365    0.008
  2455321.72765   16.354    0.007
  2455321.76620   16.355    0.008
  2455321.80542   16.344    0.007
  2455321.84701   16.353    0.009
  2455321.88450   16.374    0.008
  2455321.92175   16.369    0.008
  2455322.70807   16.361    0.007
  2455322.85562   16.364    0.008
  2455322.88083   16.354    0.007
  2455322.92124   16.360    0.007
  2455323.74447   16.349    0.008
  2455323.78284   16.352    0.007
  2455323.82608   16.350    0.007
  2455323.86552   16.352    0.007
  2455323.90299   16.347    0.007
  2455324.65349   16.343    0.008
  2455324.71835   16.369    0.008
  2455324.75575   16.361    0.008
  2455324.79417   16.348    0.008
  2455324.83486   16.360    0.008
  2455324.87225   16.356    0.007
  2455324.91290   16.373    0.007
  2455325.64549   16.361    0.007
  2455325.69968   16.360    0.007
  2455325.73619   16.348    0.007
  2455325.77451   16.358    0.007
  2455325.81448   16.352    0.007
  2455325.86153   16.355    0.008
  2455325.90025   16.354    0.007
  2455325.94081   16.371    0.015
  2455326.67451   16.344    0.007
  2455326.73519   16.349    0.007
  2455326.77260   16.354    0.007
  2455326.81212   16.358    0.007
  2455326.85037   16.357    0.007
  2455326.88884   16.363    0.007
  2455326.92757   16.342    0.008
  2455327.68868   16.351    0.007
  2455327.75963   16.351    0.007
  2455327.79850   16.350    0.007
  2455327.83682   16.348    0.008
  2455327.87577   16.353    0.007
  2455327.91389   16.354    0.007
